(standard input):680420	|	160223	|	Stylonemataceae	|	family	|	ncbi:446133,worms:368890,gbif:4955,irmng:104437	|		|		|	
(standard input):864269	|	999795	|	Bangiaceae	|	family	|	ncbi:31345,worms:143664,gbif:8962,irmng:104252	|		|		|	
(standard input):5579013	|	999795	|	Granufilaceae	|	family	|	worms:836358,gbif:7655163	|		|		|	
(standard input):5923686	|	5275832	|	Etheliaceae	|	family	|	ncbi:1819309	|		|	sibling_higher	|	
(standard input):935799	|	5275832	|	Hypneaceae	|	family	|	ncbi:31427,worms:143735,gbif:9005,irmng:106741	|		|	sibling_higher	|	
(standard input):5247750	|	5275832	|	Chondrymeniaceae	|	family	|	ncbi:1405792,worms:836359,gbif:7943018	|		|	sibling_higher	|	
(standard input):525771	|	5275832	|	Haemeschariaceae	|	family	|	ncbi:867921,worms:143734,gbif:9004,irmng:107154	|		|	sibling_higher	|	
(standard input):4742518	|	5275832	|	Catenellopsidaceae	|	family	|	ncbi:1848510,worms:368768,gbif:9232,irmng:105160	|		|	sibling_higher	|	
(standard input):743091	|	5275832	|	Calosiphoniaceae	|	family	|	ncbi:173469,worms:143727,gbif:3234983,gbif:4926,irmng:107289,irmng:105605	|		|	sibling_higher	|	
(standard input):6136599	|	5275832	|	Plagiosporaceae	|	family	|	ncbi:1911054	|		|	sibling_higher	|	
(standard input):387011	|	5275832	|	Corynomorphaceae	|	family	|	ncbi:239158,gbif:4930,irmng:107232	|		|	sibling_higher	|	
(standard input):109345	|	5275832	|	Crossocarpaceae	|	family	|	ncbi:1037068,worms:368770,gbif:4931,irmng:107234	|		|	sibling_higher	|	
(standard input):672524	|	5275832	|	Gainiaceae	|	family	|	ncbi:142503,worms:325416,gbif:4934,irmng:106409	|		|	sibling_higher	|	
(standard input):471767	|	5275832	|	Wurdemanniaceae	|	family	|	ncbi:257601,worms:143745,gbif:4943,irmng:107900	|		|	sibling_higher	|	
(standard input):649181	|	5275832	|	Sarcomeniaceae	|	family	|	ncbi:998122,worms:368748,gbif:8969,irmng:105860	|		|	sibling_higher	|	
(standard input):372533	|	5275832	|	Wrangeliaceae	|	family	|	ncbi:756396,worms:493877,gbif:5823953,irmng:121675	|		|	sibling_higher	|	
(standard input):109273	|	5275832	|	Pterocladiophilaceae	|	family	|	ncbi:282358,worms:143749,gbif:9025,irmng:107819	|		|	sibling_higher	|	
(standard input):4742521	|	5275832	|	Chondriellaceae	|	family	|	worms:368769,gbif:4375808,irmng:106476	|		|	sibling_higher	|	
(standard input):4742506	|	5275832	|	Blinksiaceae	|	family	|	worms:368767,gbif:9231,irmng:107286	|		|	sibling_higher	|	
(standard input):268739	|	5275833	|	Scinaiaceae	|	family	|	ncbi:268579,worms:368873,gbif:4946,irmng:106316	|		|	sibling_higher	|	
(standard input):1025298	|	5275833	|	Psilosiphonaceae	|	family	|	ncbi:67901,worms:599593,gbif:4890,irmng:106166	|		|	sibling_higher	|	
(standard input):289683	|	5275833	|	Lemaneaceae	|	family	|	ncbi:31374,worms:368712,gbif:4889,irmng:107709	|		|	sibling_higher	|	
(standard input):599688	|	5275833	|	Rhodophysemataceae	|	family	|	ncbi:39570,worms:143762,gbif:9031,irmng:105596	|		|	sibling_higher	|	
(standard input):725572	|	5275833	|	Palmariaceae	|	family	|	ncbi:2820,worms:143761,gbif:9030,irmng:106490	|		|	sibling_higher	|	
(standard input):5155355	|	5275833	|	Chaetangiaceae	|	family	|	worms:196241,gbif:3234868,irmng:107293	|		|	sibling_higher	|	
(standard input):209210	|	209213	|	Rhodogorgonaceae	|	family	|	ncbi:31492,worms:368886,gbif:4948,irmng:105832	|		|		|	
(standard input):559056	|	238994	|	Sporolithaceae	|	family	|	ncbi:48966,worms:143692,gbif:8997,irmng:106323	|		|		|	
(standard input):238997	|	238994	|	Corallinaceae	|	family	|	ncbi:31396,worms:143691,gbif:4919,irmng:101865	|		|		|	
(standard input):572677	|	572664	|	Pihiellaceae	|	family	|	ncbi:244124,worms:368880,gbif:9032,irmng:105865	|		|		|	
(standard input):5247752	|	5246863	|	Entwisleiaceae	|	family	|	ncbi:1405801,worms:836377,gbif:7728433	|		|		|	
(standard input):962193	|	962194	|	Colaconemataceae	|	family	|	ncbi:658649,worms:172844,gbif:4918,irmng:105166	|		|		|	
(standard input):473294	|	473293	|	Rhodachlyaceae	|	family	|	ncbi:498765,worms:599696,gbif:6784932,irmng:120734	|		|		|	
(standard input):813593	|	813592	|	Ahnfeltiaceae	|	family	|	ncbi:31362,worms:146313,gbif:8965,irmng:106007	|		|		|	
(standard input):1064000	|	1081754	|	Acrosymphytaceae	|	family	|	ncbi:142495,worms:143693,gbif:4922,irmng:106198	|		|		|	
(standard input):339609	|	375554	|	Compsopogonaceae	|	family	|	ncbi:31352,worms:143690,gbif:4885,irmng:108816	|		|	sibling_higher	|	
(standard input):375556	|	375554	|	Boldiaceae	|	family	|	ncbi:930025,worms:493884,gbif:8963,irmng:108073	|		|	sibling_higher	|	
(standard input):375549	|	375547	|	Rufusiaceae	|	family	|	ncbi:930021,worms:599698,gbif:6784995,irmng:120733	|		|		|	
(standard input):1041969	|	878953	|	Phragmonemataceae	|	family	|	ncbi:139981,worms:143766,gbif:4953,irmng:108067	|		|	sibling_higher	|	
(standard input):454732	|	454750	|	Rhodochaetaceae	|	family	|	ncbi:110508,worms:143772,gbif:8964,irmng:108267	|		|		|	
(standard input):664968	|	664969	|	Glaucocystaceae	|	family	|	ncbi:38257,worms:599659,gbif:2029,irmng:104952	|		|		|	
(standard input):142557	|	142556	|	Gloeochaetaceae	|	family	|	ncbi:38266,gbif:4903878,irmng:115749	|		|		|	
(standard input):164903	|	664970	|	Cyanophoraceae	|	family	|	ncbi:33678,gbif:4906074,irmng:115815	|		|	sibling_higher	|	
(standard input):4736130	|	5602210	|	Nephroselmidaceae	|	family	|	worms:368875,gbif:8919,irmng:105635	|		|		|	
(standard input):300506	|	850425	|	Pycnococcaceae	|	family	|	ncbi:41878,worms:22613,gbif:8921,irmng:116065	|		|	sibling_higher	|	
(standard input):4736552	|	5602207	|	Crustomastigaceae	|	family	|	ncbi:1525216,gbif:4906186,irmng:118713	|		|		|	
(standard input):5653990	|	5602207	|	Dolichomastigaceae	|	family	|	ncbi:1525217,worms:493886,gbif:3229540,irmng:118712	|		|		|	
(standard input):4734594	|	1032211	|	Bathycoccaceae	|	family	|	ncbi:1525212,worms:493889,gbif:4908143,irmng:118711	|		|		|	
(standard input):300512	|	1032211	|	Mamiellaceae	|	family	|	ncbi:41873,worms:17663,gbif:5428,irmng:106142	|		|		|	
(standard input):5653989	|	5602206	|	Monomastigaceae	|	family	|	ncbi:1525215,worms:578238,gbif:3229541,irmng:106635	|		|		|	
(standard input):4736173	|	850425	|	Kofoidiellaceae	|	family	|	gbif:4899943,irmng:105944	|		|	major_rank_conflict	|	
(standard input):542100	|	542096	|	Chlorodendraceae	|	family	|	ncbi:35429,worms:17667,gbif:8918,irmng:106474	|		|		|	
(standard input):4004383	|	542096	|	Halosphaeraceae	|	family	|	worms:21004,gbif:5429,irmng:106426	|		|		|	
(standard input):5584494	|	5578919	|	Palmophyllaceae	|	family	|	worms:599683,gbif:3229566,irmng:119552	|		|		|	
(standard input):491910	|	491909	|	Trentepohliaceae	|	family	|	ncbi:35445,worms:422889,gbif:5271552,gbif:7559,irmng:108260,irmng:105164	|		|		|	
(standard input):1029135	|	755489	|	Halimedaceae	|	family	|	ncbi:379500,worms:368715,gbif:8778,irmng:116584	|		|		|	
(standard input):1068376	|	755489	|	Caulerpaceae	|	family	|	ncbi:35432,worms:143668,gbif:4674,irmng:107291	|		|		|	
